,Game Date,Play ID,Play Type,Play Type NFL,Punt Inside Twenty,Possession Team,Home Team,Away Team,Home Score,Away Score,Total Home Score,Total Away Score,Win Percentage,Defensive Win Percentage,Game Hald,Return Yards,Return Touchdown,Game Seconds Remaining,Game ID,Return Team,Score on resulting drive,# of Plays on Resulting Drive,Yards on Resulting Drive,Points Scored off Return/Resulting Drive,Drive After Return Length (Seconds),Return Team Possessions Before Return,Return Team Possession After Return,Yards Per Play on Resulting Drive,score differential before ret (ret - punt),ret team winning before ret,Return Team Won,Points scored by ret team after ret,points scored by punt team after ret,time expired on next drive,time left after drive after ret,ret team points before ret,punt team points before ret,ret team final points,punt team final points,score difference at punt (ret-punt),final score difference. (ret-punt),score difference change from (final - at punt),points per drive before ret,points per drive after ret,time to score each point after ret,time to score each point on next poss after ret (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation
88186,2018-12-16,1977,punt,PUNT,0,WAS,JAX,WAS,13,16,9,3,0.4178062,0.5821938,Half1,74,1,1823,2018_15_WAS_JAX,JAX,0,5,5,7,129,6,4,1,6,1,-1,4,13,0,1694,9,3,13,16,6,-3,-9,1.5,1,455.75,18.42857143,0,0
88599,2018-12-22,3686,punt,PUNT,0,BAL,LAC,BAL,10,22,10,16,0.73810893,0.26189107,Half2,24,0,192,2018_16_BAL_LAC,LAC,-1,1,1,-7,20,10,2,1,-6,-1,-1,0,6,0,172,10,16,10,22,-6,-12,-6,1,0,#DIV/0!,-2.857142857,0,0
88751,2018-12-23,3289,punt,PUNT,0,BUF,NE,BUF,24,12,21,6,0.014714455,0.9852855,Half2,25,0,666,2018_16_BUF_NE,NE,1,6,19,3,191,11,3,3.166666667,15,1,1,3,6,0,475,21,6,24,12,15,12,-3,1.909090909,1,222,63.66666667,0,0
89115,2018-12-24,241,punt,PUNT,0,DEN,LV,DEN,27,14,6,0,0.37351352,0.6264865,Half1,99,1,3335,2018_16_DEN_OAK,LV,0,3,-5,7,117,0,10,-1.666666667,6,1,1,21,14,0,3218,6,0,27,14,6,13,7,#DIV/0!,2.1,158.8095238,16.71428571,0,0
89765,2018-12-23,1832,punt,PUNT,0,MIA,MIA,JAX,7,17,7,7,0.46651554,0.53348446,Half1,44,0,1822,2018_16_JAX_MIA,JAX,0,1,0,0,4,4,6,0,0,0,1,10,0,1,1818,7,7,17,7,0,10,10,1.75,1.666666667,182.2,#DIV/0!,0,0
90192,2018-12-23,3616,punt,PUNT,0,ARI,ARI,LA,9,31,9,31,0.0003879581,0.99961203,Half2,26,0,506,2018_16_LA_ARI,LA,0,3,0,0,169,8,1,0,22,1,1,0,0,0,337,31,9,31,9,22,22,0,3.875,0,#DIV/0!,#DIV/0!,0,0
91174,2018-12-30,1714,punt,PUNT,0,SEA,SEA,ARI,27,24,14,10,0.6609545,0.33904552,Half1,45,0,2023,2018_17_ARI_SEA,ARI,1,4,-11,3,133,6,8,-2.75,-4,-1,-1,14,13,0,1890,10,14,24,27,-4,-3,1,1.666666667,1.75,144.5,44.33333333,0,0
92063,2018-12-30,2502,punt,PUNT,0,BAL,BAL,CLE,26,24,20,7,0.89164805,0.108351946,Half2,37,0,1670,2018_17_CLE_BAL,CLE,1,1,48,7,8,7,5,48,-13,-1,-1,17,6,0,1662,7,20,24,26,-13,-2,11,1,3.4,98.23529412,1.142857143,0,0
92442,2018-12-30,2362,punt,PUNT,0,GB,GB,DET,0,31,0,21,0.045775045,0.95422494,Half2,25,0,1610,2018_17_DET_GB,DET,0,5,13,0,191,5,4,2.6,21,1,1,10,0,0,1419,21,0,31,0,21,31,10,4.2,2.5,161,#DIV/0!,1,0
92819,2018-12-30,3377,punt,PUNT,0,JAX,HOU,JAX,20,3,20,3,0.011495116,0.9885049,Half2,30,0,566,2018_17_JAX_HOU,HOU,0,3,3,0,61,10,1,1,17,1,1,0,0,0,505,20,3,20,3,17,17,0,2,0,#DIV/0!,#DIV/0!,0,0
94050,2019-01-06,694,punt,PUNT,0,BAL,BAL,LAC,17,23,0,3,0.36745384,0.6325462,Half1,33,0,2915,2018_18_LAC_BAL,LAC,1,4,7,3,133,2,11,1.75,3,1,1,20,17,0,2782,3,0,23,17,3,6,3,1.5,1.818181818,145.75,44.33333333,0,0
94530,2019-01-05,3280,punt,PUNT,0,SEA,DAL,SEA,24,22,17,14,0.25204614,0.7479539,Half2,51,0,668,2018_18_SEA_DAL,DAL,0,2,22,0,77,9,2,11,3,1,1,7,8,0,591,17,14,24,22,3,2,-1,1.888888889,3.5,95.42857143,#DIV/0!,0,0
98097,2019-09-08,772,punt,PUNT,0,PIT,NE,PIT,33,3,7,0,0.23652911,0.7634709,Half1,20,0,2853,2019_01_PIT_NE,NE,1,12,55,3,324,2,8,4.583333333,7,1,1,26,3,0,2529,7,0,33,3,7,30,23,3.5,3.25,109.7307692,108,0,0
98860,2019-09-15,1868,punt,PUNT,0,ARI,BAL,ARI,23,17,17,6,0.10757706,0.8924229,Half1,25,0,1974,2019_02_ARI_BAL,BAL,0,3,-11,0,104,4,5,-3.666666667,11,1,1,6,11,0,1870,17,6,23,17,11,6,-5,4.25,1.2,329,#DIV/0!,0,0
99049,2019-09-15,1972,punt,PUNT,0,BUF,NYG,BUF,14,28,7,21,0.86268353,0.13731647,Half1,60,0,1892,2019_02_BUF_NYG,NYG,0,2,12,0,28,4,7,6,-14,-1,-1,7,7,0,1864,7,21,14,28,-14,-14,0,1.75,1,270.2857143,#DIV/0!,0,0
100171,2019-09-15,3629,punt,PUNT,0,OAK,LV,KC,10,28,10,28,0.013323236,0.98667675,Half2,20,0,770,2019_02_KC_OAK,LV,0,3,1,0,56,9,1,0.3333333333,-18,-1,-1,0,0,0,714,10,28,10,28,-18,-18,0,1.111111111,0,#DIV/0!,#DIV/0!,0,0
100840,2019-09-15,3034,punt,PUNT,0,NO,LA,NO,27,9,13,6,0.15174972,0.84825027,Half2,32,0,1129,2019_02_NO_LA,LA,1,5,26,7,157,7,3,5.2,7,1,1,14,3,0,972,13,6,27,9,7,18,11,1.857142857,4.666666667,80.64285714,22.42857143,0,0
101503,2019-09-12,1283,punt,PUNT,0,TB,CAR,TB,14,20,3,3,0.3416158,0.6583842,Half1,39,0,2406,2019_02_TB_CAR,CAR,1,5,23,3,89,3,10,4.6,0,0,-1,11,17,0,2317,3,3,14,20,0,-6,-6,1,1.1,218.7272727,29.66666667,0,0
102058,2019-09-22,1338,punt,PUNT,0,CAR,ARI,CAR,20,38,7,7,0.3940829,0.6059171,Half1,20,0,2266,2019_03_CAR_ARI,ARI,1,15,53,3,358,2,9,3.533333333,0,0,-1,13,31,0,1908,7,7,20,38,0,-18,-18,3.5,1.444444444,174.3076923,119.3333333,0,0
102863,2019-09-22,3119,punt,PUNT,0,PHI,PHI,DET,24,27,17,27,0.09030768,0.9096923,Half2,24,0,795,2019_03_DET_PHI,DET,0,3,0,0,92,8,3,0,10,1,1,0,7,0,703,27,17,27,24,10,3,-7,3.375,0,#DIV/0!,#DIV/0!,0,0
103008,2019-09-22,2324,punt,PUNT,0,LAC,LAC,HOU,20,27,17,7,0.79799986,0.20200014,Half2,23,0,1583,2019_03_HOU_LAC,HOU,1,8,55,7,217,6,4,6.875,-10,-1,1,20,3,0,1366,7,17,27,20,-10,7,17,1.166666667,5,79.15,31,0,0
103455,2019-09-22,218,punt,PUNT,0,SEA,SEA,NO,27,33,0,6,0.44885355,0.55114645,Half1,53,1,3439,2019_03_NO_SEA,NO,0,3,8,7,173,0,11,2.666666667,6,1,1,27,27,0,3266,6,0,33,27,6,6,0,#DIV/0!,2.454545455,127.3703704,24.71428571,0,0
105070,2019-09-29,1082,punt,PUNT,0,DAL,NO,DAL,12,10,3,3,0.35945836,0.6405417,Half1,23,0,2618,2019_04_DAL_NO,NO,1,7,27,3,285,2,7,3.857142857,0,0,1,9,7,0,2333,3,3,12,10,0,2,2,1.5,1.285714286,290.8888889,95,0,0
108071,2019-10-06,2704,punt,PUNT,0,LV,LV,CHI,24,21,17,14,0.6631936,0.33680642,Half2,71,0,1018,2019_05_CHI_OAK,CHI,1,1,16,7,25,7,3,16,-3,-1,-1,7,7,0,993,14,17,21,24,-3,-3,0,2,2.333333333,145.4285714,3.571428571,0,0
108215,2019-10-07,1986,punt,PUNT,0,CLE,SF,CLE,31,3,21,3,0.047449544,0.9525505,Half1,32,0,1858,2019_05_CLE_SF,SF,0,4,4,0,34,6,6,1,18,1,1,10,0,0,1824,21,3,31,3,18,28,10,3.5,1.666666667,185.8,#DIV/0!,0,0
108416,2019-10-06,2956,punt,PUNT,0,DEN,LAC,DEN,13,20,6,17,0.96297777,0.037022233,Half2,68,1,949,2019_05_DEN_LAC,LAC,1,4,29,10,128,8,4,7.25,-11,-1,-1,7,3,0,821,6,17,13,20,-11,-7,4,0.75,1.75,135.5714286,12.8,0,0
112115,2019-10-13,113,punt,PUNT,0,TEN,DEN,TEN,16,0,0,0,0.35638472,0.64361525,Half1,42,0,3517,2019_06_TEN_DEN,DEN,1,8,32,3,184,0,13,4,0,0,1,16,0,0,3333,0,0,16,0,0,16,16,#DIV/0!,1.230769231,219.8125,61.33333333,0,0
112431,2019-10-13,3587,punt,PUNT,0,WAS,MIA,WAS,16,17,10,17,0.8345038,0.16549617,Half2,21,0,388,2019_06_WAS_MIA,MIA,1,9,75,7,116,11,1,8.333333333,-7,-1,-1,6,0,0,272,10,17,16,17,-7,-1,6,0.9090909091,6,64.66666667,16.57142857,0,0
113228,2019-10-17,717,punt,PUNT,0,DEN,DEN,KC,6,30,6,7,0.42115992,0.5788401,Half1,36,0,2867,2019_07_KC_DEN,KC,1,4,6,3,91,1,11,1.5,1,1,1,23,0,0,2776,7,6,30,6,1,24,23,7,2.090909091,124.6521739,30.33333333,0,0
113461,2019-10-20,2229,punt,PUNT,0,ATL,ATL,LA,10,37,3,13,0.18057184,0.81942815,Half1,35,0,1832,2019_07_LA_ATL,LA,0,2,4,0,17,5,5,2,10,1,1,24,7,1,1815,13,3,37,10,10,27,17,2.6,4.8,76.33333333,#DIV/0!,0,0
114222,2019-10-21,3623,punt,PUNT,0,NYJ,NYJ,NE,0,33,0,33,0.000118860036,0.99988115,Half2,22,0,735,2019_07_NE_NYJ,NE,0,3,8,0,146,10,3,2.666666667,33,1,1,0,0,0,589,33,0,33,0,33,33,0,3.3,0,#DIV/0!,#DIV/0!,0,0
114348,2019-10-20,2314,punt,PUNT,0,CHI,CHI,NO,25,36,10,12,0.4126586,0.5873414,Half1,23,0,1909,2019_07_NO_CHI,NO,0,3,5,0,22,6,6,1.666666667,2,1,1,24,15,0,1887,12,10,36,25,2,11,9,2,4,79.54166667,#DIV/0!,0,0
114617,2019-10-20,3733,punt,PUNT,0,GB,GB,LV,42,24,42,17,0.99976856,0.00023144484,Half2,32,0,144,2019_07_OAK_GB,LV,1,4,40,7,37,8,1,10,-25,-1,-1,7,0,0,107,17,42,24,42,-25,-18,7,2.125,7,20.57142857,5.285714286,0,0
116052,2019-10-27,1041,punt,PUNT,0,LAC,CHI,LAC,16,17,3,0,0.30238178,0.69761825,Half1,24,0,2562,2019_08_LAC_CHI,CHI,0,5,12,0,138,3,8,2.4,3,1,-1,13,17,0,2424,3,0,16,17,3,-1,-4,1,1.625,197.0769231,#DIV/0!,0,0
116583,2019-10-27,999,punt,PUNT,0,NYJ,JAX,NYJ,29,15,13,7,0.23365533,0.76634467,Half1,24,0,2658,2019_08_NYJ_JAX,JAX,0,3,-1,0,58,3,9,-0.3333333333,6,1,1,16,8,0,2600,13,7,29,15,6,14,8,4.333333333,1.777777778,166.125,#DIV/0!,0,0
117339,2019-10-27,1717,punt,PUNT,0,TEN,TEN,TB,27,23,14,6,0.7852193,0.21478069,Half1,40,0,2179,2019_08_TB_TEN,TB,1,5,28,3,135,5,8,5.6,-8,-1,-1,17,13,0,2044,6,14,23,27,-8,-4,4,1.2,2.125,128.1764706,45,0,0
117729,2019-11-03,2871,punt,PUNT,0,PHI,PHI,CHI,22,14,19,7,0.86642,0.13358003,Half2,24,0,1151,2019_09_CHI_PHI,CHI,0,3,4,0,83,7,3,1.333333333,-12,-1,-1,7,3,0,1068,7,19,14,22,-12,-8,4,1,2.333333333,164.4285714,#DIV/0!,0,0
117796,2019-11-03,255,punt,PUNT,0,CLE,DEN,CLE,24,19,0,0,0.45054886,0.5494511,Half1,20,0,3370,2019_09_CLE_DEN,DEN,1,9,63,7,287,1,8,7,0,0,1,24,19,0,3083,0,0,24,19,0,5,5,0,3,140.4166667,41,0,0
120360,2019-11-10,1338,punt,PUNT,0,NO,NO,ATL,9,26,3,10,0.30264828,0.6973517,Half1,21,0,2368,2019_10_ATL_NO,ATL,0,3,4,0,150,2,7,1.333333333,7,1,1,16,6,0,2218,10,3,26,9,7,17,10,5,2.285714286,148,#DIV/0!,0,0
120802,2019-11-10,3481,punt,PUNT,0,CLE,CLE,BUF,19,16,12,9,0.6304856,0.3695144,Half2,22,0,563,2019_10_BUF_CLE,BUF,1,7,48,7,224,8,2,6.857142857,-3,-1,-1,7,7,0,339,9,12,16,19,-3,-3,0,1.125,3.5,80.42857143,32,0,0
121892,2019-11-10,2721,punt,PUNT,0,MIA,IND,MIA,12,16,3,10,0.7102392,0.28976083,Half2,21,0,1254,2019_10_MIA_IND,IND,1,10,28,3,303,8,4,2.8,-7,-1,-1,9,6,0,951,3,10,12,16,-7,-4,3,0.375,2.25,139.3333333,101,0,0
122399,2019-11-11,1796,punt,PUNT,0,SF,SF,SEA,24,27,10,7,0.5617844,0.4382156,Half1,20,0,1919,2019_10_SEA_SF,SEA,0,3,37,0,43,5,8,12.33333333,-3,-1,1,20,14,0,1876,7,10,27,24,-3,3,6,1.4,2.5,95.95,#DIV/0!,0,0
122769,2019-11-17,806,punt,PUNT,0,CAR,CAR,ATL,3,29,0,9,0.4282594,0.5717406,Half1,78,1,2778,2019_11_ATL_CAR,ATL,1,10,75,10,300,3,7,7.5,9,1,1,20,3,0,2478,9,0,29,3,9,26,17,3,2.857142857,138.9,30,0,0
123502,2019-11-17,1452,punt,PUNT,0,DAL,DET,DAL,27,35,7,10,0.4798097,0.5201903,Half1,32,0,2477,2019_11_DAL_DET,DET,1,6,45,7,197,4,6,7.5,-3,-1,-1,20,25,0,2280,7,10,27,35,-3,-8,-5,1.75,3.333333333,123.85,28.14285714,0,0
124579,2019-11-17,1040,punt,PUNT,0,TB,TB,NO,17,34,0,13,0.16396485,0.83603513,Half1,27,0,2527,2019_11_NO_TB,NO,1,13,51,7,402,3,5,3.923076923,13,1,1,21,17,0,2125,13,0,34,17,13,17,4,4.333333333,4.2,120.3333333,57.42857143,0,0
125092,2019-11-25,119,punt,PUNT,0,LA,LA,BAL,6,45,0,0,0.46170697,0.538293,Half1,20,0,3525,2019_12_BAL_LA,BAL,1,9,55,7,348,0,8,6.111111111,0,0,1,45,6,0,3177,0,0,45,6,0,39,39,#DIV/0!,5.625,78.33333333,49.71428571,0,0
126356,2019-11-24,1024,punt,PUNT,0,JAX,TEN,JAX,42,20,0,0,0.37796634,0.62203366,Half1,21,0,2451,2019_12_JAX_TEN,TEN,1,7,73,7,249,2,9,10.42857143,0,0,1,42,20,0,2202,0,0,42,20,0,22,22,0,4.666666667,58.35714286,35.57142857,0,0
126746,2019-11-24,1632,punt,PUNT,0,CHI,CHI,NYG,19,14,0,7,0.29330602,0.706694,Half1,40,0,2214,2019_12_NYG_CHI,NYG,0,4,5,0,53,4,8,1.25,7,1,-1,7,19,0,2161,7,0,14,19,7,-5,-12,1.75,0.875,316.2857143,#DIV/0!,0,0
126946,2019-11-24,1784,punt,PUNT,0,OAK,NYJ,LV,34,3,13,3,0.12901916,0.87098086,Half1,26,0,1920,2019_12_OAK_NYJ,NYJ,0,4,-5,0,69,3,8,-1.25,10,1,1,21,0,0,1851,13,3,34,3,10,31,21,4.333333333,2.625,91.42857143,#DIV/0!,0,0
130052,2019-12-01,3456,punt,PUNT,0,TB,JAX,TB,11,28,11,25,0.93865365,0.061346352,Half2,43,0,692,2019_13_TB_JAX,JAX,0,13,35,0,312,8,3,2.692307692,-14,-1,-1,0,3,0,380,11,25,11,28,-14,-17,-3,1.375,0,#DIV/0!,#DIV/0!,0,0
130163,2019-12-01,1460,punt,PUNT,0,TEN,IND,TEN,17,31,10,7,0.25287047,0.74712956,Half1,23,0,2045,2019_13_TEN_IND,IND,0,3,-2,0,120,4,8,-0.6666666667,3,1,-1,7,24,0,1925,10,7,17,31,3,-14,-17,2.5,0.875,292.1428571,#DIV/0!,0,0
132528,2019-12-08,653,punt,PUNT,0,ARI,ARI,PIT,17,23,0,9,0.35965383,0.64034617,Half1,85,1,2893,2019_14_PIT_ARI,PIT,0,1,0,7,6,1,8,0,9,1,1,14,17,0,2887,9,0,23,17,9,6,-3,9,1.75,206.6428571,0.8571428571,0,0
132591,2019-12-08,2021,punt,PUNT,0,PIT,ARI,PIT,17,23,10,13,0.5265271,0.4734729,Half2,29,0,1719,2019_14_PIT_ARI,ARI,0,9,35,0,315,5,4,3.888888889,-3,-1,-1,7,10,0,1404,10,13,17,23,-3,-6,-3,2,1.75,245.5714286,#DIV/0!,0,0
132885,2019-12-08,890,punt,PUNT,0,SF,NO,SF,46,48,13,7,0.2508532,0.7491468,Half1,25,0,2860,2019_14_SF_NO,NO,1,5,29,7,151,2,9,5.8,6,1,-1,33,41,0,2709,13,7,46,48,6,-2,-8,6.5,3.666666667,86.66666667,21.57142857,0,0
135570,2019-12-12,1845,punt,PUNT,0,BAL,BAL,NYJ,42,21,21,7,0.888845,0.11115497,Half1,21,0,1875,2019_15_NYJ_BAL,NYJ,0,3,6,0,45,4,8,2,-14,-1,-1,14,21,0,1830,7,21,21,42,-14,-21,-7,1.75,1.75,133.9285714,#DIV/0!,0,0
136741,2019-12-22,128,punt,PUNT,0,CAR,IND,CAR,38,6,0,0,0.35344067,0.64655936,Half1,40,0,3541,2019_16_CAR_IND,IND,1,8,36,7,287,0,10,4.5,0,0,1,38,6,0,3254,0,0,38,6,0,32,32,#DIV/0!,3.8,93.18421053,41,0,0
136757,2019-12-22,511,punt,PUNT,0,CAR,IND,CAR,38,6,13,0,0.19535452,0.8046455,Half1,84,1,3178,2019_16_CAR_IND,IND,0,6,11,7,65,1,9,1.833333333,13,1,1,25,6,0,3113,13,0,38,6,13,32,19,13,2.777777778,127.12,9.285714286,0,0
136882,2019-12-22,3442,punt,PUNT,0,CAR,IND,CAR,38,6,30,6,0.005708667,0.9942913,Half2,71,1,454,2019_16_CAR_IND,IND,1,8,76,14,214,8,2,9.5,24,1,1,8,0,0,240,30,6,38,6,24,32,8,3.75,4,56.75,15.28571429,0,0
137378,2019-12-22,1097,punt,PUNT,0,DEN,DEN,DET,27,17,0,9,0.40025148,0.5997485,Half1,64,1,2470,2019_16_DET_DEN,DET,0,3,1,7,59,3,6,0.3333333333,9,1,-1,8,27,0,2411,9,0,17,27,9,-10,-19,3,1.333333333,308.75,8.428571429,0,0
137662,2019-12-23,3779,punt,PUNT,0,GB,MIN,GB,10,23,10,23,0.99767464,0.002325356,Half2,23,0,162,2019_16_GB_MIN,MIN,0,4,-5,0,41,12,1,-1.25,-13,-1,-1,0,0,0,121,10,23,10,23,-13,-13,0,0.8333333333,0,#DIV/0!,#DIV/0!,0,0
138971,2019-12-22,775,punt,PUNT,0,PIT,NYJ,PIT,16,10,7,0,0.24131702,0.75868297,Half1,20,0,2823,2019_16_PIT_NYJ,NYJ,1,7,23,3,157,2,9,3.285714286,7,1,1,9,10,0,2666,7,0,16,10,7,6,-1,3.5,1,313.6666667,52.33333333,0,0
142572,2020-01-04,1280,punt,PUNT,0,TEN,NE,TEN,13,20,10,7,0.35395667,0.6460433,Half1,23,0,2293,2019_18_TEN_NE,NE,1,10,44,3,344,3,7,4.4,3,1,-1,3,13,0,1949,10,7,13,20,3,-7,-10,3.333333333,0.4285714286,764.3333333,114.6666667,0,0
143421,2020-01-19,595,punt,PUNT,0,GB,SF,GB,37,20,7,0,0.23567854,0.76432145,Half1,26,0,2851,2019_20_GB_SF,SF,1,5,15,3,141,2,7,3,7,1,1,30,20,0,2710,7,0,37,20,7,17,10,3.5,4.285714286,95.03333333,47,0,0
144603,2020-09-13,3370,punt,PUNT,0,LA,LA,DAL,20,17,20,17,0.6266638,0.3733362,Half2,20,0,931,2020_01_DAL_LA,DAL,0,9,55,0,216,7,3,6.111111111,-3,-1,-1,0,0,0,715,17,20,17,20,-3,-3,0,2.428571429,0,#DIV/0!,#DIV/0!,0,0
145278,2020-09-13,2783,punt,PUNT,0,LAC,CIN,LAC,13,16,10,6,0.24984427,0.75015575,Half2,22,0,1373,2020_01_LAC_CIN,CIN,1,11,43,3,368,8,4,3.909090909,4,1,-1,3,10,0,1005,10,6,13,16,4,-3,-7,1.25,0.75,457.6666667,122.6666667,0,0
145445,2020-09-13,2143,punt,PUNT,0,CAR,CAR,LV,30,34,15,17,0.42166615,0.57833385,Half2,27,0,1675,2020_01_LV_CAR,LV,1,6,15,3,184,4,5,2.5,2,1,1,17,15,0,1491,17,15,34,30,2,4,2,4.25,3.4,98.52941176,61.33333333,0,0
145731,2020-09-13,1155,punt,PUNT,0,NYJ,BUF,NYJ,27,17,14,0,0.11424475,0.88575524,Half1,23,0,2700,2020_01_NYJ_BUF,BUF,1,14,68,7,472,3,7,4.857142857,14,1,1,13,17,0,2228,14,0,27,17,14,10,-4,4.666666667,1.857142857,207.6923077,67.42857143,0,0
146115,2020-09-14,1146,punt,PUNT,0,PIT,NYG,PIT,16,26,10,3,0.23859012,0.7614099,Half1,20,0,2576,2020_01_PIT_NYG,NYG,0,1,0,0,9,4,6,0,7,1,-1,6,23,0,2567,10,3,16,26,7,-10,-17,2.5,1,429.3333333,#DIV/0!,0,0
148999,2020-09-20,3302,punt,PUNT,0,NE,SEA,NE,35,30,28,23,0.17805415,0.82194585,Half2,20,0,549,2020_02_NE_SEA,SEA,1,9,65,7,244,8,2,7.222222222,5,1,1,7,7,0,305,28,23,35,30,5,5,0,3.5,3.5,78.42857143,34.85714286,0,0
153310,2020-10-04,2623,punt,PUNT,0,LV,LV,BUF,23,30,16,17,0.4354112,0.5645888,Half2,38,0,1057,2020_04_BUF_LV,BUF,1,6,45,6,154,4,4,7.5,1,1,1,13,7,0,903,17,16,30,23,1,7,6,4.25,3.25,81.30769231,25.66666667,0,0
153488,2020-10-04,2736,punt,PUNT,0,CLE,DAL,CLE,38,49,14,38,0.99702555,0.0029744506,Half2,27,0,1386,2020_04_CLE_DAL,DAL,0,9,30,0,148,6,5,3.333333333,-24,-1,-1,24,11,0,1238,14,38,38,49,-24,-11,13,2.333333333,4.8,57.75,#DIV/0!,0,0
153710,2020-10-01,3216,punt,PUNT,0,NYJ,NYJ,DEN,28,37,16,24,0.15521888,0.8447811,Half2,41,0,967,2020_04_DEN_NYJ,DEN,1,4,8,3,101,6,5,2,8,1,1,13,12,0,866,24,16,37,28,8,9,1,4,2.6,74.38461538,33.66666667,0,0
153919,2020-10-04,3367,punt,PUNT,0,CHI,CHI,IND,11,19,3,16,0.050067052,0.94993293,Half2,21,0,858,2020_04_IND_CHI,IND,0,3,3,0,65,8,2,1,13,1,1,3,8,0,793,16,3,19,11,13,8,-5,2,1.5,286,#DIV/0!,0,0
154759,2020-10-04,1674,punt,PUNT,0,DET,DET,NO,29,35,14,21,0.21539561,0.7846044,Half1,22,0,1916,2020_04_NO_DET,NO,1,4,49,7,59,4,4,12.25,7,1,1,14,15,0,1857,21,14,35,29,7,6,-1,5.25,3.5,136.8571429,8.428571429,0,0
155597,2020-10-13,876,punt,PUNT,0,BUF,TEN,BUF,42,16,7,7,0.35679176,0.64320827,Half1,40,0,2834,2020_05_BUF_TEN,TEN,1,3,4,7,185,2,7,1.333333333,0,0,1,35,9,0,2649,7,7,42,16,0,26,26,3.5,5,80.97142857,26.42857143,0,0
158146,2020-10-18,745,punt,PUNT,0,MIN,MIN,ATL,23,40,0,10,0.19372948,0.80627054,Half1,24,0,2803,2020_06_ATL_MIN,ATL,0,3,28,0,85,2,9,9.333333333,10,1,1,30,23,0,2718,10,0,40,23,10,17,7,5,3.333333333,93.43333333,#DIV/0!,0,0
159734,2020-10-19,329,punt,PUNT,0,KC,BUF,KC,17,26,0,0,0.47000015,0.52999985,Half1,24,0,3322,2020_06_KC_BUF,BUF,1,11,38,3,267,1,8,3.454545455,0,0,-1,17,26,0,3055,0,0,17,26,0,-9,-9,0,2.125,195.4117647,89,0,0
160136,2020-10-18,1612,punt,PUNT,0,NYJ,MIA,NYJ,24,0,14,0,0.089029945,0.91097003,Half1,30,0,1972,2020_06_NYJ_MIA,MIA,1,3,48,7,41,5,8,16,14,1,1,10,0,0,1931,14,0,24,0,14,24,10,2.8,1.25,197.2,5.857142857,0,0
162208,2020-10-25,1711,punt,PUNT,0,TEN,TEN,PIT,24,27,7,17,0.19705984,0.80294013,Half1,57,0,1911,2020_07_PIT_TEN,PIT,1,3,17,7,43,3,6,5.666666667,10,1,1,10,17,0,1868,17,7,27,24,10,3,-7,5.666666667,1.666666667,191.1,6.142857143,0,0
163118,2020-11-01,1566,punt,PUNT,0,DAL,PHI,DAL,23,9,7,6,0.32090542,0.67909455,Half1,22,0,2005,2020_08_DAL_PHI,PHI,0,3,17,0,60,4,7,5.666666667,1,1,1,16,3,0,1945,7,6,23,9,1,14,13,1.75,2.285714286,125.3125,#DIV/0!,0,0
163480,2020-11-01,1473,punt,PUNT,0,LA,MIA,LA,28,17,20,7,0.19153771,0.80846226,Half1,88,1,2343,2020_08_LA_MIA,MIA,0,3,6,7,55,6,9,2,13,1,1,8,10,0,2288,20,7,28,17,13,11,-2,3.333333333,0.8888888889,292.875,7.857142857,0,0
163658,2020-11-01,1107,punt,PUNT,0,DEN,DEN,LAC,31,30,3,0,0.59183073,0.40816927,Half1,30,0,2492,2020_08_LAC_DEN,LAC,0,6,17,0,160,3,9,2.833333333,-3,-1,-1,30,28,0,2332,0,3,30,31,-3,-1,2,0,3.333333333,83.06666667,#DIV/0!,0,0
164414,2020-11-01,2365,punt,PUNT,0,CHI,CHI,NO,23,26,13,10,0.5947836,0.4052164,Half2,42,0,1568,2020_08_NO_CHI,NO,1,4,7,3,92,5,7,1.75,-3,-1,1,16,10,0,1476,10,13,26,23,-3,3,6,2,2.285714286,98,30.66666667,0,0
164883,2020-11-01,126,punt,PUNT,0,SEA,SEA,SF,37,27,0,0,0.45431122,0.54568875,Half1,20,0,3506,2020_08_SF_SEA,SF,0,5,25,0,173,0,10,5,0,0,-1,27,37,0,3333,0,0,27,37,0,-10,-10,#DIV/0!,2.7,129.8518519,#DIV/0!,0,0
165834,2020-11-08,745,punt,PUNT,0,CHI,TEN,CHI,24,17,3,0,0.34213337,0.6578666,Half1,21,0,2863,2020_09_CHI_TEN,TEN,0,3,-13,0,75,3,9,-4.333333333,3,1,1,21,17,0,2788,3,0,24,17,3,7,4,1,2.333333333,136.3333333,#DIV/0!,0,0
166234,2020-11-08,1326,punt,PUNT,0,MIN,MIN,DET,34,20,13,3,0.84431577,0.15568423,Half1,21,0,2122,2020_09_DET_MIN,DET,1,8,72,7,232,3,9,9,-10,-1,-1,17,21,0,1890,3,13,20,34,-10,-14,-4,1,1.888888889,124.8235294,33.14285714,0,0
167629,2020-11-08,1270,punt,PUNT,0,,DAL,PIT,19,24,10,0,0.14770386,0.8522961,Half1,73,0,2183,2020_09_PIT_DAL,DAL,1,4,5,3,135,3,8,1.25,10,1,-1,9,24,0,2048,10,0,19,24,10,-5,-15,3.333333333,1.125,242.5555556,45,0,0
