,game_date,play_id,play_type_nfl,yardline_100,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,punt_blocked,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,kickoff_inside_twenty,kickoff_out_of_bounds,fumble_forced,fumble_not_forced,fumble_lost,fumble,safety,own_kickoff_recovery_td,qb_hit,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,drive_ended_with_score
94812,2019-01-12,1559.0,PUNT,81.0,2018_19_IND_KC,KC,KC,IND,17.0,6.0,31,13,0.8970716,Half1,2164.0,punt,0.1029284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95876,2019-09-08,121.0,PUNT,67.0,2019_01_ATL_MIN,ATL,MIN,ATL,0.0,0.0,28,12,0.39776385,Half1,3479.0,punt,0.60223615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97841,2019-09-08,3627.0,PUNT,77.0,2019_01_LA_CAR,LA,CAR,LA,13.0,23.0,27,30,0.8182369,Half2,825.0,punt,0.18176311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105941,2019-09-29,731.0,PUNT,67.0,2019_04_NE_BUF,BUF,BUF,NE,0.0,12.0,10,16,0.3608759,Half1,3090.0,punt,0.6391241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111267,2019-10-10,854.0,PUNT,81.0,2019_06_NYG_NE,NYG,NE,NYG,6.0,0.0,35,14,0.41918275,Half1,2808.0,punt,0.5808172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111801,2019-10-13,1332.0,PUNT,74.0,2019_06_SEA_CLE,CLE,CLE,SEA,20.0,9.0,28,32,0.81876254,Half1,2413.0,punt,0.18123746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112519,2019-10-20,1364.0,PUNT,96.0,2019_07_ARI_NYG,ARI,NYG,ARI,13.0,17.0,21,27,0.67436403,Half1,2399.0,punt,0.32563597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
114264,2019-10-20,127.0,PUNT,73.0,2019_07_NO_CHI,CHI,CHI,NO,0.0,2.0,25,36,0.4745505,Half1,3517.0,punt,0.5254495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125481,2019-11-24,781.0,PUNT,70.0,2019_12_DAL_NE,DAL,NE,DAL,0.0,0.0,13,9,0.35415858,Half1,2805.0,punt,0.6458414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131895,2019-12-08,3030.0,PUNT,65.0,2019_14_KC_NE,KC,NE,KC,7.0,23.0,16,23,0.9296999,Half2,1219.0,punt,0.0703001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
