,game_date,play_id,play_type_nfl,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,punt_inside_twenty,return_touchdown,ret_team,points_scored_on_next_resulting_poss,points_scored_on_play,points_scored_on_next_drive,points_scored_on_play_and_next_drive,points_scored_after_ret,total_poss_before_ret,total_poss_after_ret,ret_team_win,ret_team_losing_before_block,ret_team_winning_before_block,ret_team_tied_before_block,score_difference_at_block,final_score_difference,points_per_drive_after_ret,time_to_score_each_point
35259,12/12/21,1759,PUNT,2021_14_CHI_GB,GB,GB,CHI,14,23,45,30,0.4425503,Half1,1914,punt,0.5574497,97,0,1,,,,,,,,,,,,,,,,
36292,12/12/21,1002,PUNT,2021_14_NO_NYJ,NO,NYJ,NO,0,3,9,30,0.5896511,Half1,2604,punt,0.4103489,28,0,0,,,,,,,,,,,,,,,,
36952,12/12/21,3117,PUNT,2021_14_SEA_HOU,HOU,HOU,SEA,13,19,13,33,0.20534627,Half2,711,punt,0.7946537,22,0,0,,,,,,,,,,,,,,,,
37517,12/19/21,3175,PUNT,2021_15_ATL_SF,,SF,ATL,31,13,31,13,0.9903138,Half2,588,punt,0.009686172,23,0,0,,,,,,,,,,,,,,,,
38382,12/19/21,2707,PUNT,2021_15_HOU_JAX,,JAX,HOU,13,23,16,30,0.8212673,Half2,1133,punt,0.1787327,48,0,0,,,,,,,,,,,,,,,,
38641,12/20/21,219,PUNT,2021_15_LV_CLE,CLE,CLE,LV,0,0,14,16,0.48805323,Half1,3366,punt,0.5119468,29,0,0,,,,,,,,,,,,,,,,
38674,12/20/21,1059,PUNT,2021_15_LV_CLE,LV,CLE,LV,0,7,14,16,0.69977576,Half1,2569,punt,0.30022424,20,0,0,,,,,,,,,,,,,,,,
39202,12/19/21,766,PUNT,2021_15_NO_TB,,TB,NO,0,3,0,9,0.47264323,Half1,2942,punt,0.52735674,34,0,0,,,,,,,,,,,,,,,,
39704,12/19/21,347,PUNT,2021_15_TEN_PIT,,PIT,TEN,0,0,19,13,0.4986434,Half1,3329,punt,0.5013566,55,0,0,,,,,,,,,,,,,,,,
40435,12/26/21,972,PUNT,2021_16_CHI_SEA,SEA,SEA,CHI,7,0,24,25,0.6441189,Half1,2633,punt,0.3558811,28,0,0,,,,,,,,,,,,,,,,
