,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
24142,2017-11-12,3447.0,PUNT,0.0,2017_10_CLE_DET,CLE,DET,CLE,38,24,31.0,24.0,0.08513139,Half2,332.0,punt,0.9148686,29.0,0.0
24660,2017-11-12,3163.0,PUNT,0.0,2017_10_HOU_LA,HOU,LA,HOU,33,7,16.0,7.0,0.1095544,Half2,1084.0,punt,0.8904456,27.0,0.0
25821,2017-11-12,991.0,PUNT,0.0,2017_10_NYJ_TB,NYJ,TB,NYJ,15,10,3.0,0.0,0.27617586,Half1,2645.0,punt,0.72382414,44.0,0.0
26767,2017-11-19,1633.0,PUNT,0.0,2017_11_BAL_GB,GB,GB,BAL,0,23,0.0,3.0,0.30720565,Half1,1909.0,punt,0.6927943,28.0,0.0
28806,2017-11-19,3393.0,PUNT,0.0,2017_11_WAS_NO,WAS,NO,WAS,34,31,13.0,24.0,0.9258507,Half2,694.0,punt,0.07414931,24.0,0.0
28894,2017-11-26,699.0,PUNT,0.0,2017_12_BUF_KC,KC,KC,BUF,10,16,0.0,0.0,0.5474936,Half1,3065.0,punt,0.45250642,20.0,0.0
29200,2017-11-26,3938.0,PUNT,0.0,2017_12_CAR_NYJ,NYJ,NYJ,CAR,27,35,20.0,32.0,0.11331685,Half2,609.0,punt,0.88668317,60.0,1.0
30090,2017-11-27,3745.0,PUNT,0.0,2017_12_HOU_BAL,BAL,BAL,HOU,23,16,20.0,16.0,0.6789017,Half2,404.0,punt,0.32109833,21.0,0.0
30176,2017-11-26,1431.0,PUNT,0.0,2017_12_JAX_ARI,JAX,ARI,JAX,27,24,6.0,0.0,0.18305449,Half1,2224.0,punt,0.8169455,20.0,0.0
30929,2017-11-26,2227.0,PUNT,0.0,2017_12_NO_LA,NO,LA,NO,26,20,17.0,10.0,0.20867002,Half2,1672.0,punt,0.79133,40.0,0.0
