player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Brandon Facyson,50564,CB,IND,16,2,11.1,67.6,100.0,10.6,7.1,0,0,4,10.8,14,56.0,56.2,84.9,,54.3,55.7,0,35,13.8,4,3,3,101.5,25,276,276,5,23,37,1,303,94,1.1,12.1
Charles Omenihu,50612,ED,SF,17,0,,,0.5,,,0,0,0,,28,58.8,67.5,54.1,75.3,47.6,41.2,0,,66.7,2,0,3,0.0,0,2,419,5,1,0,0,0,0,0.0,
Austin Calitro,50640,LB,LV,3,3,10.0,100.0,61.8,4.5,4.5,0,0,0,0.0,23,28.8,29.6,79.4,49.2,54.6,81.1,0,13,0.0,0,0,1,146.9,4,21,34,0,1,4,1,39,7,2.2,9.8
Luke Gifford,50675,LB,DAL,6,1,-1.5,50.0,88.2,14.0,7.0,0,0,0,0.0,9,40.2,46.4,73.9,58.2,61.2,81.5,0,5,0.0,0,0,0,56.3,1,15,17,0,1,2,0,5,6,0.4,5.0
Josey Jewell,50720,LB,DEN,13,8,3.5,78.9,85.3,6.7,5.3,0,1,2,2.6,10,62.2,71.7,83.3,58.3,79.6,68.4,2,43,11.9,8,2,0,99.3,60,423,496,21,51,76,2,635,497,1.6,10.6
Cody Barton,50727,LB,SEA,17,10,4.4,76.1,94.0,8.2,6.2,0,1,4,6.0,29,60.0,63.7,85.2,63.1,64.4,81.7,2,54,6.3,3,4,0,97.9,51,442,470,15,35,67,3,481,380,1.2,9.4
Jordyn Brooks,50851,LB,SEA,16,5,5.4,75.0,93.6,9.6,7.2,0,0,4,5.6,29,40.7,52.8,84.3,66.0,65.2,66.2,0,52,12.3,8,4,1,123.8,54,543,580,19,52,72,5,624,417,1.2,11.6
Roquan Smith,50892,LB,BLT,17,14,5.6,79.4,88.8,9.9,7.9,0,0,2,3.2,3,60.2,70.6,87.4,61.6,77.0,77.4,3,33,15.4,10,2,1,90.4,50,521,587,20,41,63,2,499,278,1.0,10.0
Tremaine Edmunds,50905,LB,BUF,13,9,4.4,71.4,93.3,10.7,7.6,0,1,6,10.7,4,88.1,79.0,85.0,69.7,56.5,81.7,1,23,7.1,4,6,0,82.1,40,457,490,19,43,56,1,296,191,0.7,7.4
Robert Spillane,50918,LB,PIT,16,5,5.9,84.0,84.4,7.5,6.3,0,0,3,6.0,25,39.5,52.5,56.7,54.5,77.3,70.2,0,45,11.1,5,3,2,127.6,42,330,391,12,35,50,3,491,300,1.6,11.7
Leighton Vander Esch,50950,LB,DAL,14,8,2.4,82.8,93.4,14.9,12.3,0,0,0,0.0,9,75.6,70.8,85.6,54.4,61.7,79.7,0,27,11.1,4,0,0,91.8,24,381,408,10,24,29,0,175,142,0.5,7.3
Bobby Okereke,50954,LB,IND,17,12,3.8,78.5,95.7,6.8,5.4,0,0,4,4.3,14,67.4,73.3,64.0,48.5,79.3,59.9,0,52,12.2,9,4,2,103.0,73,531,555,22,53,93,2,651,500,1.3,8.9
Ja'Whaun Bentley,50966,LB,NE,17,7,2.6,73.8,77.7,12.7,9.4,0,0,1,2.4,19,72.6,80.4,66.3,62.2,83.8,74.7,1,36,14.0,6,1,1,78.7,31,407,524,14,30,42,0,252,188,0.6,8.1
Frankie Luvu,51028,LB,CAR,15,3,4.6,89.3,74.0,7.8,6.9,0,2,2,3.6,5,51.5,74.8,74.2,72.2,90.1,56.1,1,35,16.7,7,1,1,119.9,50,415,561,26,32,56,4,496,312,1.3,9.9
Tyrel Dodson,51045,LB,BUF,7,4,5.1,76.9,90.7,12.6,9.7,0,0,0,0.0,4,43.9,48.4,80.5,74.4,55.7,65.2,0,26,5.6,1,0,0,103.7,10,137,151,2,13,13,0,117,93,0.9,11.7
Shaquille Quarterman,51048,LB,JAX,2,0,,,94.1,,,0,0,0,,15,82.6,90.4,73.6,59.6,76.2,77.6,0,,0.0,0,0,0,0.0,0,16,17,0,1,0,0,0,0,0.0,
Jahlani Tavai,51055,LB,NE,17,4,3.6,74.3,80.8,8.7,6.4,0,0,3,8.6,19,73.3,73.5,86.0,61.0,69.2,89.9,0,27,0.0,0,3,0,100.8,26,236,292,7,13,35,1,229,134,1.0,8.8
Julian Love,51081,S,NYG,16,11,9.1,70.8,96.4,16.1,11.4,0,1,5,10.4,21,71.5,70.0,67.7,69.8,63.4,87.5,2,30,3.3,2,3,2,97.0,34,581,603,17,48,48,3,373,178,0.7,11.0
Ben Niemann,51099,LB,ARZ,16,11,0.9,82.4,86.2,8.5,7.0,0,0,1,2.9,1,70.2,71.0,83.1,58.2,67.6,90.3,0,25,0.0,0,1,0,88.2,28,249,289,9,25,34,0,176,178,0.7,6.3
Taylor Rapp,51172,S,LA,16,6,5.3,72.9,97.8,16.2,11.8,0,0,3,6.3,26,72.9,76.2,67.9,65.6,82.3,84.6,2,19,8.2,5,3,1,82.1,35,587,600,7,50,48,2,262,169,0.5,7.5
P.J. Locke,51189,S,DEN,12,0,5.3,66.7,97.6,12.7,8.4,0,0,1,11.1,10,84.6,80.5,0.0,64.9,47.1,52.4,0,16,12.5,1,1,1,76.6,6,80,82,4,7,9,0,41,33,0.5,6.8
Andre Chachere,51194,CB,PHI,1,0,8.0,0.0,100.0,,4.0,0,0,0,0.0,24,45.4,32.0,70.5,,38.3,75.8,0,,,0,0,0,39.6,0,4,4,0,0,1,0,0,0,0.0,
Joshua Kalu,51203,S,TEN,14,3,5.8,81.5,96.4,14.7,12.0,0,1,3,11.1,31,59.0,68.0,47.2,48.4,93.5,70.8,1,34,15.4,4,3,2,82.1,22,346,359,8,19,27,0,200,117,0.6,9.1
Minkah Fitzpatrick,51206,S,PIT,15,9,11.4,69.4,97.9,21.4,14.8,0,0,5,13.9,25,83.3,82.4,40.6,52.1,82.2,79.0,6,62,9.6,5,4,3,72.3,25,559,571,12,38,36,1,369,123,0.7,14.8
Fred Warner,51222,LB,SF,17,15,5.6,65.5,93.9,15.6,10.2,0,1,9,15.5,28,77.4,83.7,46.8,70.8,88.5,63.0,1,60,11.8,8,5,5,96.3,38,630,671,24,45,58,2,491,313,0.8,12.9
Tracy Walker,51266,S,DET,3,3,10.0,50.0,94.8,88.0,44.0,1,1,0,0.0,11,75.4,74.3,0.0,77.6,58.5,77.4,0,13,0.0,0,0,2,70.8,1,91,96,2,5,2,0,13,11,0.1,13.0
Drue Tranquill,51276,LB,LAC,17,8,4.2,79.6,88.4,11.1,8.8,1,0,2,3.7,27,76.7,66.5,65.6,76.4,48.8,53.1,1,32,18.9,10,2,1,100.8,43,502,568,24,35,54,2,383,278,0.8,8.9
Mike Edwards,51282,S,TB,13,9,10.6,78.4,94.5,15.9,12.5,0,1,1,2.7,30,57.8,56.7,85.5,64.3,50.7,61.3,2,47,8.2,4,1,0,110.7,29,485,513,10,36,37,3,351,158,0.8,12.1
Kristian Welch,51283,LB,BLT,2,0,13.0,100.0,100.0,2.0,2.0,0,0,0,0.0,3,44.8,29.8,68.8,,58.6,71.4,0,14,0.0,0,0,0,118.8,1,2,2,0,1,1,0,14,1,7.0,14.0
Sean Chandler,51315,S,CAR,5,0,1.7,100.0,97.5,12.0,12.0,0,0,0,0.0,5,50.6,51.1,78.1,60.0,59.9,83.5,0,9,0.0,0,0,0,125.7,3,39,40,0,3,3,1,14,9,0.4,4.7
Terrell Edmunds,51334,S,PIT,15,7,10.9,64.9,96.6,20.2,13.1,0,1,5,13.5,25,68.0,69.1,86.7,77.2,63.4,64.1,0,39,8.3,3,4,0,132.4,24,514,532,6,26,37,4,357,131,0.7,14.9
Will Harris,51336,CB,DET,15,4,10.1,70.7,92.1,9.1,6.4,1,0,4,6.9,11,66.9,63.7,57.1,55.5,54.9,76.4,1,54,2.6,1,2,2,107.1,41,395,429,10,33,58,3,502,157,1.3,12.2
Derwin James,51368,S,LAC,14,4,6.8,61.4,93.6,15.8,9.7,1,1,6,13.6,27,74.4,77.3,16.1,90.9,74.1,70.2,2,18,8.0,4,4,6,67.2,27,454,485,14,42,44,2,188,104,0.4,7.0
Amani Hooker,51378,S,TEN,9,3,6.6,80.0,93.8,13.0,10.4,0,0,2,6.7,31,71.5,63.3,19.1,49.8,43.8,63.7,1,33,10.3,3,2,2,86.1,24,332,354,5,23,30,0,240,96,0.8,10.0
Marcus Epps,51391,S,PHI,17,3,8.2,78.7,99.1,17.6,13.8,0,2,6,12.8,24,44.7,56.3,41.8,54.5,84.4,68.5,0,63,10.0,5,5,2,141.2,37,681,687,7,42,47,5,441,176,0.7,11.9
Roderic Teamer,51405,S,LV,14,3,3.7,81.5,95.4,7.1,5.8,0,0,0,0.0,23,55.3,54.7,30.6,49.0,60.8,77.3,0,38,0.0,0,0,2,135.6,22,166,174,7,15,27,3,207,151,1.3,9.4
Marcell Harris,51408,LB,NYJ,3,0,1.0,100.0,100.0,8.5,8.5,0,0,0,0.0,22,50.1,64.4,73.5,,71.3,28.9,0,5,33.3,1,0,0,85.4,2,19,19,0,2,2,0,9,7,0.5,4.5
Jaylinn Hawkins,51423,S,ATL,16,10,7.3,72.0,97.4,28.1,20.2,0,1,4,16.0,2,56.1,59.8,85.7,59.9,64.9,47.8,2,26,20.8,10,4,0,71.6,18,522,536,3,28,25,1,177,88,0.4,9.8
Jaquan Johnson,51433,S,BUF,8,4,16.6,75.0,95.9,21.8,16.4,0,0,0,0.0,4,55.2,51.5,0.0,55.4,59.3,57.0,1,45,0.0,0,0,2,111.5,6,139,145,0,10,8,1,90,19,0.7,15.0
Chase Hansen,51448,LB,NO,2,0,3.0,100.0,80.0,3.0,3.0,0,0,0,0.0,20,45.9,45.3,90.0,60.0,56.9,77.6,0,10,0.0,0,0,0,108.3,1,4,5,0,1,1,0,10,7,3.3,10.0
Kaden Elliss,51485,LB,NO,16,6,5.9,78.1,69.5,8.9,6.9,0,1,2,6.3,20,67.5,81.5,89.1,75.8,81.1,58.4,0,32,20.0,5,2,0,97.1,25,235,338,13,14,32,0,234,119,1.1,9.4
J.T. Gray,51495,S,NO,7,0,,,87.5,,,0,0,0,,20,51.3,72.4,77.8,91.8,65.2,77.8,0,,,0,0,0,0.0,0,21,24,2,0,0,0,0,0,0.0,
Dre Greenlaw,51503,LB,SF,15,6,3.3,78.1,93.5,6.6,5.1,1,1,5,5.2,28,81.2,81.2,40.1,65.6,78.8,80.5,1,51,7.5,6,3,5,92.6,75,521,557,34,68,96,1,617,407,1.2,8.2
Kenny Moore II,51596,CB,IND,12,6,7.5,76.3,96.6,8.8,6.7,0,0,5,8.5,14,46.3,55.7,85.4,53.0,80.5,62.6,0,42,11.1,5,3,2,121.4,45,422,437,10,34,59,4,469,255,1.2,10.4
Nicholas Morrow,51674,LB,CHI,17,8,5.9,83.6,92.1,10.7,8.9,1,1,1,1.8,6,61.3,54.0,85.1,54.2,46.8,56.9,1,30,8.2,4,1,1,99.9,46,526,571,11,37,55,1,459,279,0.9,10.0
Isaiah Dunn,52129,CB,SEA,1,0,,,100.0,,,0,0,0,,29,60.7,70.2,60.4,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Paulson Adebo,52280,CB,NO,13,2,11.5,69.6,99.8,9.6,6.7,3,2,8,11.6,20,48.6,49.1,87.3,58.8,49.6,49.6,0,78,12.8,6,7,10,123.6,48,496,497,12,39,69,5,652,222,1.4,13.6
Anthony Chesley,54369,CB,TB,2,0,10.0,100.0,100.0,5.0,5.0,0,0,0,0.0,30,42.7,48.1,80.0,,66.3,75.2,0,15,0.0,0,0,0,143.8,2,11,11,0,1,2,1,18,0,1.8,9.0
Jeffrey Gunter,54402,ED,CIN,4,0,5.0,100.0,8.0,2.0,2.0,0,0,0,0.0,7,54.8,42.5,79.1,52.4,59.4,69.9,0,21,,0,0,0,118.8,1,2,25,0,0,1,0,21,16,10.5,21.0
Malcolm Koonce,55015,ED,LV,9,0,,,4.0,,,0,0,0,,23,78.9,47.7,78.7,52.4,38.2,38.2,0,,0.0,0,0,0,0.0,0,2,50,1,2,0,0,0,0,0.0,
Darrick Forrest,55087,S,WAS,17,5,11.4,54.3,98.3,19.3,10.5,0,1,5,10.9,32,69.0,67.0,60.8,48.8,63.2,80.8,4,40,6.5,3,5,1,68.0,25,508,517,10,38,46,4,308,119,0.6,12.3
Coby Bryant,55088,CB,SEA,17,7,6.9,75.8,96.9,9.0,6.8,0,0,4,6.1,29,54.6,58.9,59.3,71.9,71.7,54.6,0,67,10.7,6,4,3,107.8,50,474,489,12,43,66,2,515,253,1.1,10.3
Boye Mafe,55220,ED,SEA,17,0,4.3,81.8,19.4,4.9,4.0,0,0,0,0.0,29,60.4,65.8,86.1,54.1,72.6,68.1,0,23,12.5,1,0,0,94.3,9,45,232,8,7,11,0,73,55,1.7,8.1
Mark Robinson,55265,LB,PIT,3,2,4.7,100.0,100.0,5.0,5.0,0,0,0,0.0,25,29.1,27.6,74.9,44.0,42.1,30.1,0,19,33.3,1,0,0,118.8,3,16,16,0,0,3,0,50,36,3.3,16.7
Ja'Sir Taylor,55426,CB,LAC,8,0,13.2,70.0,94.4,11.6,8.1,0,1,1,10.0,27,65.6,60.6,0.0,70.0,50.7,50.4,0,50,11.1,1,1,1,107.5,7,85,90,1,8,10,0,113,24,1.4,16.1
Harrison Hand,55576,CB,CHI,3,1,6.5,80.0,100.0,6.3,5.0,0,0,1,10.0,6,55.0,73.1,80.8,,94.0,66.1,0,17,11.1,1,1,0,100.0,8,50,50,0,7,10,0,80,46,1.6,10.0
Elijah Hicks,55584,S,CHI,5,2,20.5,100.0,97.6,19.3,19.3,0,0,0,0.0,6,59.6,63.2,81.7,56.1,68.4,84.0,0,66,0.0,0,0,0,158.3,4,80,82,0,6,4,3,106,35,1.4,26.5
A.J. Terrell,55586,CB,ATL,14,3,12.0,57.4,99.8,11.0,6.3,0,1,14,20.6,2,61.8,63.9,87.0,58.7,67.3,32.1,0,40,20.0,8,8,3,115.8,39,444,445,8,29,68,9,430,142,1.0,11.0
Josh Blackwell,55589,CB,CHI,5,1,11.4,54.5,91.0,10.3,5.6,0,0,1,9.1,6,66.4,58.0,82.7,71.5,29.5,55.5,0,28,0.0,0,0,0,79.0,6,71,78,3,8,11,0,83,43,1.3,13.8
Marco Wilson,55592,CB,ARZ,14,4,10.1,60.5,97.9,10.6,6.4,1,1,11,14.5,1,61.2,55.3,61.8,64.7,28.9,38.9,3,53,10.2,5,7,5,81.9,46,513,524,5,40,76,4,516,177,1.1,11.2
C.J. Henderson,55593,CB,CAR,17,1,13.6,68.9,99.4,8.9,6.1,0,0,3,4.1,5,48.9,52.9,86.7,54.0,69.7,53.0,2,57,11.5,6,3,3,106.9,51,489,492,7,45,74,5,642,145,1.4,12.6
Lonnie Johnson Jr.,55615,S,TEN,7,2,10.8,75.0,100.0,38.3,28.8,1,1,0,0.0,31,67.5,64.8,0.0,,53.0,68.3,0,35,11.1,1,0,2,152.1,3,122,122,2,6,4,1,46,17,0.4,15.3
Amik Robertson,55619,CB,LV,17,1,11.7,58.9,97.4,12.6,7.4,2,0,6,10.7,23,61.3,64.1,86.4,59.8,74.5,36.4,2,67,21.1,8,6,4,98.1,33,444,456,11,29,56,4,511,197,1.2,15.5
Russ Yeast,55629,S,LA,9,0,2.6,80.0,100.0,17.5,14.0,0,0,0,0.0,26,47.1,57.4,82.8,,85.9,69.7,0,14,33.3,2,0,1,93.3,4,72,72,1,4,5,0,32,24,0.5,8.0
Josiah Scott,55634,CB,PHI,11,2,7.6,80.0,98.5,7.8,6.3,0,0,6,15.0,24,62.3,58.4,86.2,51.8,39.8,52.8,2,52,9.1,2,5,1,121.6,32,258,262,8,18,40,4,407,184,1.6,12.7
Shaun Wade,55673,CB,NE,3,0,6.2,66.7,100.0,4.3,2.8,0,0,0,0.0,19,30.0,30.4,74.2,,,75.4,0,22,0.0,0,0,0,125.7,4,18,18,0,2,6,1,41,18,2.4,10.3
Jeffrey Okudah,55674,CB,DET,15,1,12.3,61.5,99.8,10.8,6.6,2,2,8,12.3,11,54.4,59.4,61.1,60.0,74.0,75.6,1,54,7.3,3,5,6,97.0,40,464,465,8,37,65,2,621,218,1.4,15.5
Tre Norwood,55675,S,PIT,10,3,11.2,50.0,98.3,23.0,11.5,0,0,0,0.0,25,34.2,35.3,82.5,58.6,60.3,28.9,0,26,31.6,6,0,0,65.8,7,172,175,4,10,14,0,74,27,0.5,10.6
Tre Brown,55677,CB,SEA,3,0,12.0,100.0,100.0,4.7,4.7,0,0,0,0.0,29,36.3,40.5,74.1,,64.2,76.6,0,18,0.0,0,0,1,118.8,3,15,15,0,2,3,0,39,3,2.8,13.0
Thomas Graham Jr.,55685,CB,CLV,1,1,1.0,100.0,97.1,5.3,5.3,0,0,0,0.0,8,71.3,70.6,74.7,59.7,60.0,82.5,0,14,0.0,0,0,0,90.3,6,33,34,2,5,6,0,34,28,1.1,5.7
Deommodore Lenoir,55686,CB,SF,15,10,9.0,71.6,97.8,8.9,6.4,2,0,6,6.8,28,51.0,55.9,87.2,62.4,75.6,63.3,1,77,10.6,7,3,6,96.8,63,589,602,12,49,88,1,761,328,1.4,12.1
Tariq Castro-Fields,55689,CB,WAS,1,0,,,100.0,,,0,0,0,,32,60.2,63.1,68.5,,60.4,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Marcus Jones,55717,CB,NE,11,2,15.8,64.9,100.0,10.4,6.8,0,1,6,16.2,19,66.8,67.6,84.3,,65.6,67.6,2,39,6.5,2,4,0,83.7,24,266,266,2,27,37,1,365,82,1.5,15.2
Darious Williams,55724,CB,JAX,17,7,9.7,54.3,99.4,13.1,7.1,0,5,18,22.2,15,62.2,61.4,87.1,50.0,54.0,34.6,0,54,17.8,8,14,2,81.5,44,615,619,7,30,81,2,503,274,0.9,11.4
Ja'Marcus Ingram,55738,CB,BUF,2,0,16.7,66.7,100.0,15.5,10.3,0,0,0,0.0,4,56.1,60.2,77.0,,74.5,76.7,0,32,0.0,0,0,0,109.7,2,33,33,0,2,3,0,38,15,1.2,19.0
Xavier McKinney,55775,S,NYG,9,3,16.6,50.0,88.8,32.0,16.0,0,0,3,16.7,21,57.8,57.8,84.2,58.9,56.1,77.5,0,49,4.3,1,3,1,97.7,9,301,339,3,19,18,1,153,35,0.5,17.0
Montaric Brown,55797,CB,JAX,4,0,11.4,75.0,100.0,6.8,5.1,1,0,0,0.0,15,42.9,37.3,77.8,,28.8,29.7,0,22,0.0,0,0,1,145.3,6,42,42,0,5,8,1,79,26,1.9,13.2
Kamren Curl,55800,S,WAS,12,4,6.8,80.6,97.9,13.9,11.2,0,0,1,2.8,32,80.8,82.9,83.8,61.0,80.5,85.8,0,38,4.7,2,0,1,121.3,29,430,439,13,37,36,2,312,127,0.8,10.8
Zyon Gilbert,55891,CB,NYG,3,1,5.4,87.5,95.7,6.1,5.4,0,0,0,0.0,21,66.6,69.6,77.4,76.3,65.0,66.2,0,28,14.3,1,0,0,146.9,7,44,46,4,5,8,1,78,51,1.8,11.1
Hamsah Nasirildeen,55898,LB,NYJ,1,0,10.0,100.0,100.0,3.0,3.0,0,0,0,0.0,22,45.7,49.0,67.7,,63.2,75.0,0,11,0.0,0,0,0,112.5,1,3,3,0,1,1,0,11,1,3.7,11.0
Arron Mosby,55908,LB,CAR,1,0,5.0,100.0,100.0,2.0,2.0,0,0,0,0.0,5,47.9,45.9,65.0,,,79.4,0,7,0.0,0,0,0,95.8,1,2,2,0,1,1,0,7,2,3.5,7.0
Eric Stokes,55912,CB,GB,9,1,12.1,84.0,99.6,11.3,9.5,0,0,1,4.0,12,60.3,53.7,45.0,60.0,33.8,52.8,0,41,10.0,2,0,2,125.8,21,252,253,4,17,25,1,275,90,1.2,13.1
Bryan Cook,55940,S,KC,16,5,9.6,75.0,97.2,21.3,15.9,0,0,2,12.5,16,60.9,64.3,84.9,75.3,67.9,66.0,0,48,15.4,4,2,0,146.9,12,275,283,5,17,16,3,164,43,0.6,13.7
Nate Hobbs,55948,CB,LV,11,8,8.8,72.7,99.3,8.2,5.9,0,0,5,7.6,23,57.1,60.9,57.0,75.0,75.1,53.1,0,39,11.1,6,3,4,108.1,48,422,425,13,40,66,2,559,231,1.4,11.6
Tony Adams,55953,S,NYJ,7,1,10.0,75.0,98.4,20.0,15.0,1,0,1,25.0,22,61.8,69.5,82.2,41.7,83.7,67.8,0,20,20.0,1,0,1,96.9,3,61,62,1,3,4,0,31,6,0.5,10.3
Raheem Layne,55960,S,LAC,3,0,,,100.0,,,1,0,0,,27,48.0,42.8,72.9,,49.9,27.4,0,,,0,0,1,0.0,0,12,12,0,0,0,0,0,0,0.0,
Geno Stone,55967,S,BLT,11,1,12.3,72.2,98.0,21.3,15.4,0,1,1,5.6,3,73.7,71.4,90.1,55.8,55.3,59.7,0,55,10.3,3,1,1,109.3,13,296,302,7,25,18,0,203,39,0.7,15.6
AJ Parker,55983,CB,DET,3,0,13.1,84.6,98.6,5.4,4.5,0,0,0,0.0,11,36.6,39.9,78.1,58.5,58.7,85.5,0,36,0.0,0,0,0,144.4,11,68,69,1,9,13,1,184,60,3.1,16.7
Markquese Bell,56033,S,DAL,2,0,,,100.0,,,0,0,0,,9,62.0,46.5,69.8,,37.3,26.5,0,,,0,0,0,0.0,0,11,11,0,0,0,0,0,0,0.0,
T.J. Carter,56037,S,LA,1,0,,,100.0,,,0,0,0,,26,60.0,54.6,71.1,,60.0,27.3,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Ambry Thomas,56058,CB,SF,6,0,16.0,75.0,100.0,11.3,8.5,0,0,0,0.0,28,58.4,59.0,77.0,,60.5,78.9,0,19,0.0,0,0,1,103.1,3,36,36,0,5,4,0,37,6,1.1,12.3
Benjamin St-Juste,56061,CB,WAS,12,4,13.4,53.8,98.1,11.0,5.9,1,1,9,13.8,32,60.0,58.3,7.2,90.8,50.4,42.8,0,54,9.4,3,6,6,97.9,35,413,421,10,25,65,3,555,180,1.4,15.9
Reed Blankenship,56065,S,PHI,7,4,9.8,60.0,98.9,29.0,17.4,0,0,2,20.0,24,71.6,75.8,26.1,69.4,76.6,77.1,1,36,13.3,2,1,1,73.8,6,178,180,3,9,10,1,67,25,0.4,11.2
Damarri Mathis,56143,CB,DEN,14,2,9.3,70.8,99.6,8.9,6.3,0,1,8,11.1,10,65.3,65.6,86.6,54.7,61.9,37.1,0,63,19.0,11,6,6,96.7,51,484,486,13,45,72,2,455,169,1.0,8.9
Jason Pinnock,56144,S,NYG,10,1,14.0,69.2,84.5,24.9,17.2,1,0,3,23.1,21,53.0,61.3,85.2,61.8,76.6,67.8,0,61,29.4,5,2,1,137.0,9,235,278,4,11,13,1,161,55,0.7,17.9
Tre Avery,56146,CB,TEN,9,0,13.2,56.4,100.0,8.1,4.6,1,0,10,25.6,31,61.9,63.7,83.1,,67.1,77.6,0,46,0.0,0,7,4,103.9,22,193,193,1,17,39,3,273,61,1.5,12.4
DaRon Bland,56158,CB,DAL,13,3,6.9,74.2,97.3,6.9,5.1,0,0,3,4.5,9,74.9,71.9,53.3,57.6,60.6,59.5,5,39,10.5,4,2,3,76.4,49,360,370,10,31,66,3,457,238,1.4,9.3
Keisean Nixon,56167,CB,GB,12,1,6.6,78.6,94.4,7.2,5.6,0,1,1,3.6,12,63.6,63.9,81.4,38.0,71.8,62.5,1,43,17.6,3,0,1,83.6,22,169,179,7,13,28,0,214,117,1.4,9.7
Ifeatu Melifonwu,56203,S,DET,4,2,3.5,50.0,94.0,21.0,10.5,0,0,1,25.0,11,53.7,54.6,76.3,75.8,53.9,56.9,0,12,25.0,2,1,0,101.0,2,47,50,0,4,4,1,17,20,0.4,8.5
Quentin Lake,56245,S,LA,2,1,13.0,100.0,100.0,16.0,16.0,0,1,1,50.0,26,60.6,71.7,77.1,80.0,74.7,62.9,0,23,33.3,1,1,0,118.8,2,32,32,1,1,2,0,30,4,0.9,15.0
Darnay Holmes,56247,CB,NYG,15,3,9.1,65.2,92.0,8.0,5.2,2,0,8,12.1,21,49.5,43.7,85.7,53.2,28.5,74.4,0,41,6.5,2,6,9,90.2,43,370,402,8,26,66,1,456,233,1.3,10.6
Jaylon Johnson,56259,CB,CHI,11,0,11.3,58.7,99.4,12.2,7.2,0,0,7,15.2,6,65.2,62.9,30.3,57.6,58.5,29.0,0,68,22.6,7,7,4,96.8,27,349,351,6,24,46,1,426,200,1.3,15.8
Javelin Guidry,56262,CB,LV,1,0,9.5,100.0,100.0,8.5,8.5,0,0,0,0.0,23,59.8,60.0,73.7,,,,0,5,,0,0,0,127.1,2,18,18,0,0,2,1,10,0,0.6,5.0
Marquise Blair,56263,S,CAR,1,0,,,100.0,,,0,0,0,,5,60.0,61.3,65.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Allan George,56275,CB,CIN,2,0,8.3,100.0,100.0,7.7,7.7,0,0,0,0.0,7,58.6,60.4,81.1,,63.5,75.4,0,14,0.0,0,0,0,108.3,3,25,25,0,2,3,0,30,5,1.3,10.0
Keith Taylor,56289,CB,CAR,15,3,11.7,76.7,99.6,9.7,7.4,0,1,3,10.0,5,52.1,53.8,84.6,60.0,54.1,60.1,0,63,10.7,3,2,1,139.4,23,238,239,3,22,30,2,369,100,1.7,16.0
Elijah Molden,56290,CB,TEN,2,0,22.7,33.3,84.3,37.0,12.3,0,0,0,0.0,31,66.2,67.5,77.0,76.6,56.4,78.0,0,9,0.0,0,0,0,42.4,1,43,51,1,1,3,0,9,7,0.2,9.0
A.J. Thomas,56309,S,CHI,1,0,,,100.0,,,0,0,0,,6,62.1,67.1,71.8,,64.3,77.7,0,,,0,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Chris Rumph II,56345,ED,LAC,15,1,1.0,100.0,11.7,11.0,11.0,0,0,0,0.0,27,55.3,48.7,85.2,51.6,47.4,25.3,0,7,50.0,3,0,0,93.8,2,22,188,2,2,2,0,13,11,0.6,6.5
Victor Dimukeje,56347,ED,ARZ,14,0,3.7,100.0,18.3,6.7,6.7,0,0,0,0.0,1,58.9,57.0,86.8,58.7,53.4,61.7,0,15,0.0,0,0,0,98.6,3,22,120,1,2,3,0,23,12,1.2,7.7
Zachary Carter,56349,DI,CIN,16,1,,,0.5,,,0,0,0,,7,62.6,32.1,50.2,51.6,30.1,28.3,0,,0.0,0,0,2,0.0,0,1,190,2,1,0,0,0,0,0.0,
A.J. Epenesa,56369,ED,BUF,15,1,3.0,100.0,3.2,3.5,3.5,1,0,0,0.0,4,35.5,56.7,71.3,70.4,42.9,24.8,0,12,60.0,3,0,1,116.7,2,8,253,6,1,2,0,24,18,3.4,12.0
Ryder Anderson,56409,DI,NYG,7,1,,,1.5,,,0,0,0,,21,59.8,43.0,81.6,61.2,36.3,72.7,0,,0.0,0,0,0,0.0,0,1,68,2,0,0,0,0,0,0.0,
Chase Young,56436,ED,WAS,3,1,,,3.1,,,0,0,0,,32,85.3,78.4,81.9,62.8,73.9,56.8,0,,66.7,2,0,0,0.0,0,2,65,0,0,0,0,0,0,0.0,
Yetur Gross-Matos,56444,ED,CAR,17,0,,,1.8,,,1,0,0,,5,59.3,51.2,54.3,49.5,58.9,68.6,0,,33.3,2,0,4,0.0,0,9,505,4,4,0,0,0,0,0.0,
