player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
J.C. Jackson,42781,CB,LAC,5,1,16.1,70.4,100.0,7.8,5.5,0,0,1,3.7,27,28.1,28.7,81.2,,53.4,38.8,0,58,14.3,2,1,3,152.4,19,165,165,3,11,27,4,370,72,2.5,19.5
Shaka Toney,42806,ED,WAS,6,0,,,5.4,,,0,0,0,,32,78.3,72.0,80.5,56.5,74.4,73.4,0,,0.0,0,0,0,0.0,0,2,37,1,1,0,0,0,0,0.0,
Chase Lucas,42833,CB,DET,3,1,11.5,100.0,100.0,2.0,2.0,0,0,0,0.0,11,31.8,35.5,67.6,,60.0,80.6,0,24,0.0,0,0,0,158.3,2,4,4,0,0,2,1,30,7,7.5,15.0
Terrell Lewis,42845,ED,CHI,11,1,2.8,55.6,20.2,8.8,4.9,2,1,1,11.1,6,47.2,46.1,42.7,48.2,58.6,64.5,1,19,12.5,1,1,2,31.9,5,44,218,3,6,9,0,50,52,1.1,10.0
Kristian Fulton,42894,CB,TEN,11,5,12.3,56.9,99.6,13.0,7.4,3,0,5,8.6,31,58.5,63.8,87.1,56.2,88.6,36.5,1,65,15.4,6,2,5,102.4,33,455,457,13,28,58,5,436,165,1.0,13.2
Rashan Gary,42905,ED,GB,9,0,,,1.0,,,0,0,0,,12,90.1,82.9,49.9,83.0,67.1,44.9,0,,33.3,1,0,2,0.0,0,2,206,8,2,0,0,0,0,0.0,
Dicaprio Bootle,42913,CB,KC,1,0,12.0,33.3,100.0,10.0,3.3,0,0,0,0.0,16,47.3,47.9,71.1,,60.0,73.0,0,20,0.0,0,0,0,57.6,1,10,10,0,1,3,0,20,3,2.0,20.0
Jonathon Cooper,43021,ED,DEN,14,3,6.2,66.7,21.3,8.7,5.8,0,0,0,0.0,10,47.2,63.1,54.8,66.1,66.7,64.8,0,18,21.4,3,0,2,80.8,6,54,253,8,8,9,0,50,41,1.0,8.3
Charvarius Ward,43034,CB,SF,17,9,11.4,59.7,99.5,13.0,7.7,4,0,12,15.6,28,78.3,83.2,67.3,77.0,91.1,90.9,1,57,0.0,0,9,8,88.2,46,631,634,19,48,77,3,531,114,0.9,11.5
Brandon Jones,43049,S,MIA,7,10,6.8,72.4,87.3,9.1,6.6,0,1,3,10.3,17,52.4,61.1,79.4,65.2,73.3,65.0,0,22,14.7,5,3,1,89.3,21,199,228,6,19,29,0,187,107,1.0,8.9
